Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
220.82000732421875,221.27000427246094,216.7100067138672,220.91000366210938,67180000,0.0,0.0,
218.9199981689453,221.47999572753906,216.72999572753906,220.11000061035156,51591000,0.0,0.0,
221.4600067138672,223.08999633789062,217.88999938964844,222.66000366210938,44587100,0.0,0.0,
222.5,223.5500030517578,219.82000732421875,222.77000427246094,37498200,0.0,0.0,
223.5800018310547,224.0399932861328,221.91000366210938,222.5,36766600,0.0,0.0,221.79000244140624
216.5399932861328,217.22000122070312,213.9199981689453,216.32000732421875,59357400,0.0,0.0,220.87200317382812
215.75,216.89999389648438,214.5,216.7899932861328,45519300,0.0,0.0,220.20800170898437
217.5500030517578,222.7100067138672,217.5399932861328,220.69000244140625,59894900,0.0,0.0,219.81400146484376
224.99000549316406,229.82000732421875,224.6300048828125,228.8699951171875,66781300,0.0,0.0,221.03399963378905
229.97000122070312,233.08999633789062,227.6199951171875,228.1999969482422,318679900,0.0,0.0,222.1739990234375
227.33999633789062,229.4499969482422,225.80999755859375,226.47000122070312,54146000,0.0,0.0,224.20399780273436
228.64999389648438,229.35000610351562,225.72999572753906,227.3699951171875,43556100,0.0,0.0,226.31999816894532
224.92999267578125,227.2899932861328,224.02000427246094,226.3699951171875,42308700,0.0,0.0,227.45599670410155
227.3000030517578,228.5,225.41000366210938,227.52000427246094,36636700,0.0,0.0,227.18599853515624
228.4600067138672,229.52000427246094,227.3000030517578,227.7899932861328,34026000,0.0,0.0,227.10399780273437
230.0399932861328,233.0,229.64999389648438,233.0,54541900,0.0,0.0,228.40999755859374
229.52000427246094,229.64999389648438,223.74000549316406,226.2100067138672,63285000,0.0,0.0,228.1779998779297
225.88999938964844,227.3699951171875,223.02000427246094,226.77999877929688,32880600,0.0,0.0,228.26000061035157
225.13999938964844,226.80999755859375,223.32000732421875,225.6699981689453,34044200,0.0,0.0,227.88999938964844
227.89999389648438,228.0,224.1300048828125,226.8000030517578,37245100,0.0,0.0,227.69200134277344
224.5,225.69000244140625,221.3300018310547,221.69000244140625,39505400,0.0,0.0,225.43000183105468
224.3000030517578,225.97999572753906,223.25,225.77000427246094,31634500,0.0,0.0,225.34200134277344
